"Category","Subcategory","Action","Modified by","Date of change","Target object id","Source"
"CRM Object","Contact","Merge","nleon@smartbugmedia.com","2023-01-26 04:40","31060352","app.hubspot.com/contacts/19915081/contact/31060352"
"CRM Object","Contact","Merge","nleon@smartbugmedia.com","2023-01-26 04:40","31058551","app.hubspot.com/contacts/19915081/contact/31058551"
"CRM Object","Contact","Merge","nleon@smartbugmedia.com","2023-01-26 04:40","31058251","app.hubspot.com/contacts/19915081/contact/31058251"
"CRM Object","Contact","Merge","nleon@smartbugmedia.com","2023-01-26 04:40","31041951","app.hubspot.com/contacts/19915081/contact/31041951"
"CRM Object","Contact","Merge","nleon@smartbugmedia.com","2023-01-26 04:40","31020851","app.hubspot.com/contacts/19915081/contact/31020851"
"CRM Object","Contact","Merge","nleon@smartbugmedia.com","2023-01-26 04:40","31014201","app.hubspot.com/contacts/19915081/contact/31014201"
"CRM Object","Contact","Merge","nleon@smartbugmedia.com","2023-01-26 04:40","31005401","app.hubspot.com/contacts/19915081/contact/31005401"
"CRM Object","Contact","Merge","nleon@smartbugmedia.com","2023-01-26 04:40","30991601","app.hubspot.com/contacts/19915081/contact/30991601"
"CRM Object","Contact","Merge","nleon@smartbugmedia.com","2023-01-26 04:40","30966051","app.hubspot.com/contacts/19915081/contact/30966051"
"CRM Object","Contact","Merge","nleon@smartbugmedia.com","2023-01-26 04:40","30838801","app.hubspot.com/contacts/19915081/contact/30838801"
"CRM Object","Contact","Merge","nleon@smartbugmedia.com","2023-01-26 04:40","30811351","app.hubspot.com/contacts/19915081/contact/30811351"
"CRM Object","Contact","Merge","nleon@smartbugmedia.com","2023-01-26 04:40","30581101","app.hubspot.com/contacts/19915081/contact/30581101"
"CRM Object","Contact","Merge","nleon@smartbugmedia.com","2023-01-26 04:40","30572601","app.hubspot.com/contacts/19915081/contact/30572601"
"CRM Object","Contact","Merge","nleon@smartbugmedia.com","2023-01-26 04:40","30570001","app.hubspot.com/contacts/19915081/contact/30570001"
"CRM Object","Contact","Merge","nleon@smartbugmedia.com","2023-01-26 04:40","30565951","app.hubspot.com/contacts/19915081/contact/30565951"
"CRM Object","Contact","Merge","nleon@smartbugmedia.com","2023-01-26 04:40","30551901","app.hubspot.com/contacts/19915081/contact/30551901"
"CRM Object","Contact","Merge","nleon@smartbugmedia.com","2023-01-26 04:40","30550452","app.hubspot.com/contacts/19915081/contact/30550452"
"CRM Object","Contact","Merge","nleon@smartbugmedia.com","2023-01-26 04:40","30436151","app.hubspot.com/contacts/19915081/contact/30436151"
"CRM Object","Contact","Merge","nleon@smartbugmedia.com","2023-01-26 04:40","30427201","app.hubspot.com/contacts/19915081/contact/30427201"
"CRM Object","Contact","Merge","nleon@smartbugmedia.com","2023-01-26 04:40","30416001","app.hubspot.com/contacts/19915081/contact/30416001"
"CRM Object","Contact","Merge","nleon@smartbugmedia.com","2023-01-26 04:40","30410451","app.hubspot.com/contacts/19915081/contact/30410451"
"CRM Object","Contact","Merge","nleon@smartbugmedia.com","2023-01-26 04:40","30405351","app.hubspot.com/contacts/19915081/contact/30405351"
"CRM Object","Contact","Merge","nleon@smartbugmedia.com","2023-01-26 04:40","30395851","app.hubspot.com/contacts/19915081/contact/30395851"
"CRM Object","Contact","Merge","nleon@smartbugmedia.com","2023-01-26 04:39","30379752","app.hubspot.com/contacts/19915081/contact/30379752"
"CRM Object","Contact","Merge","nleon@smartbugmedia.com","2023-01-26 04:39","30379701","app.hubspot.com/contacts/19915081/contact/30379701"
